SEÐLABANKI ÍSLANDS,,,,,,,,,,,,,,
Upplýsingatækni og gagnasöfnun,,,,,HAGTÖLUR SEÐLABANKANS,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,Bankavextir og dráttarvextir (%),,,,,,,,,
,,,,,, í lok hvers mánaðar,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Innláns-vextir 1,,Óverðtryggð skuldabréfalán 1,,,Verðtryggð skuldabréfalán 1,,,Vextir birtir af SÍ skv. lögum nr. 38/2001,,,,
,,Almennir spari- reikningar 2,,Lægstu vextir,Hæstu vextir,,Lægstu vextir,Hæstu vextir,,Dráttarvextir pen.krafna í krónum 3,Almennir vextir óverðtryggðra lána 4,Almennir vextir verð-tryggðra lána 4,Vextir af skaðabóta-kröfum 5,
,,,,,,,,,,,,,,
,Apríl,0.93,,6.35,12.75,,3.65,10.70,,12.75,6.35,3.65,4.23,
,Maí,0.71,,6.10,12.75,,3.65,10.70,,12.75,6.35,3.65,4.23,
,Júní,0.48,,5.85,12.55,,3.65,10.70,,12.50,6.35,3.65,4.23,
,Júlí,0.49,,5.85,12.55,,3.65,10.70,,12.25,6.10,3.65,4.07,
,Ágúst,0.43,,5.85,12.55,,3.65,10.70,,12.25,5.85,3.65,3.90,
,September,0.43,,5.85,12.55,,3.65,10.70,,12.25,5.85,3.65,3.90,
,Október,0.20,,5.60,12.40,,3.65,10.70,,12.25,5.85,3.65,3.90,
,Nóvember,0.20,,5.60,12.40,,3.65,10.70,,12.00,5.60,3.65,3.73,
,Desember,0.20,,5.60,12.40,,3.65,10.70,,12.00,5.60,3.65,3.73,
,,,,,,,,,,,,,,
2018,Janúar,0.19,,5.60,12.40,,3.65,10.70,,12.00,5.60,3.65,3.73,
,Febrúar,0.19,,5.60,12.40,,3.65,10.70,,12.00,5.60,3.65,3.73,
,Mars,0.19,,5.60,12.40,,3.65,10.70,,12.00,5.60,3.65,3.73,
,Apríl,0.19,,5.60,12.40,,3.65,10.70,,12.00,5.60,3.65,3.73,
,Maí,0.19,,5.75,12.40,,3.65,10.70,,12.00,5.60,3.65,3.73,
,Júní,0.16,,5.75,12.40,,3.65,10.70,,12.00,5.75,3.65,3.83,
,Júlí,0.15,,5.75,12.40,,3.65,10.70,,12.00,5.75,3.65,3.83,
,Ágúst,0.15,,5.75,12.40,,3.65,10.70,,12.00,5.75,3.65,3.83,
,September,0.15,,5.75,12.40,,3.65,10.70,,12.00,5.75,3.65,3.83,
,Október,0.16,,5.75,12.40,,3.65,10.70,,12.00,5.75,3.65,3.83,
,Nóvember,0.28,,6.00,12.65,,3.55,10.70,,12.00,5.75,3.65,3.83,
,Desember,0.28,,6.00,12.65,,3.55,10.70,,12.25,6.00,3.65,4.00,
,,,,,,,,,,,,,,
2019,Janúar,0.28,,6.00,12.75,,3.55,10.70,,12.25,6.00,3.55,4.00,
,Febrúar,0.28,,6.00,12.65,,3.55,10.70,,12.25,6.00,3.55,4.00,
,Mars,0.28,,6.00,12.65,,3.55,10.70,,12.25,6.00,3.55,4.00,
,Apríl,0.28,,6.00,12.65,,3.55,10.70,,12.25,6.00,3.55,4.00,
,Maí,0.28,,6.00,12.65,,3.55,10.70,,12.25,6.00,3.55,4.00,
,Júní,0.19,,5.60,12.10,,3.25,10.40,,11.75,6.00,3.55,4.00,
,Júlí,0.16,,5.40,12.10,,3.19,10.40,,11.75,5.60,3.25,3.73,
,Ágúst,0.16,,5.40,12.10,,3.19,10.40,,11.50,5.40,3.19,3.60,
,September,0.12,,5.30,11.65,,3.09,10.40,,11.50,5.40,3.19,3.60,
,Október,0.09,,5.20,11.55,,2.90,10.30,,11.25,5.30,3.09,3.53,
